"board","drift_deg","roll_case","n_elements","rho_v_kg_m2_s","rho_kgm3","n_rho_refused","scan_speed_ms","board_speed_setting_ms","roll_rad","roll_min_rad","roll_max_rad","turn_radius_m","yaw_rate_rad_s","drag_total_n","drag_friction_n","drag_planing_n","drag_rail_n","lift_total_n","contact_area_m2","volume_litres","total_mass_kg"
"default_paddle","30","0","5","20460.0004732636","1023","0","20.0000004626233","4","-0.0918729275465012","-0.192666292190552","-0.0329198464751244","19.0781726837158","1.04831845241103","968.659423828125","603.878680229187","152.035836696625","214.61212348938","2688.66925048828","0.985384711995721","55.0594905614853","6.58317470550537"
"default_paddle","30","1","11","20459.9998888329","1023","0","19.9999998913323","4","0.294395595196296","0.00550476741045713","0.732124447822571","19.0781726837158","1.04831842246628","446777.143562317","4070.67660808563","437622.189211369","7277.90438842773","634706.951660156","6.85788545571268","545.589208677411","6.58317470550537"
"default_paddle","30","2","11","20460.0000078762","1023","0","20.0000000076991","4","0.327281723730266","0.00866470206528902","0.839996576309204","19.0781726837158","1.04831842856576","287454.16582489","3156.94142913818","277674.958392501","8597.97369384766","360058.002563477","5.11112740077078","397.570479333401","6.58317470550537"
"default_paddle","30","3","11","20459.9996606174","1023","0","19.9999996682477","4","0.388531262901696","0.0479803085327148","0.899386346340179","19.0781726837158","1.0483184107731","136172.360778809","1673.07439923286","125858.926081657","10443.3204345703","148559.940673828","2.5428563808091","196.179875820875","6.58317470550537"
"default_paddle","30","4","11","20459.9994350329","1023","0","19.999999447735","4","0.265932833945209","0.0356162898242474","0.969217598438263","19.0781726837158","1.04831839921472","35793.1023101807","1096.43235969543","27348.7959604263","8133.943359375","32197.8729858398","1.62058043759316","123.577223032713","6.58317470550537"
"default_paddle","45","0","4","20459.9999902842","1023","0","19.9999999905027","4","-0.178268078714609","-0.267344772815704","-0.080308124423027","19.0781726837158","1.04831842766439","790.674201965332","374.382303237915","133.615162849426","284.661163330078","2165.32940673828","0.598488669842482","30.4206629395485","6.58317470550537"
"default_paddle","45","1","11","20460.0000905704","1023","0","20.0000000885341","4","0.206944630819966","0.0102680856361985","0.488053172826767","19.0781726837158","1.0483184328028","501075.406990051","4317.76459026337","486045.810510635","1603.91014099121","812093.75012207","7.04109543375671","558.505264252424","6.58317470550537"
"default_paddle","45","2","11","20459.9989637765","1023","0","19.9999989870738","4","0.200539879225702","0.00288781919516623","0.588635087013245","19.0781726837158","1.04831837506874","281739.887985229","3204.65060329437","271271.055001378","9217.30749511719","421690.354614258","5.00302671268582","389.202136516571","6.58317470550537"
"default_paddle","45","3","11","20460.0001331995","1023","0","20.0000001302047","4","0.32078872451728","0.00237963814288378","0.607437789440155","19.0781726837158","1.048318434987","168898.457901001","2198.91399550438","154769.210004807","14747.3250732422","233806.581604004","3.25748788006604","246.633472934365","6.58317470550537"
"default_paddle","45","4","10","20459.9988266635","1023","0","19.9999988530435","4","0.369933599233627","0.021137822419405","0.68984317779541","19.0781726837158","1.04831836804342","68054.3947753906","996.013801574707","53314.677062273","15486.999786377","74786.4307861328","1.331388913095","94.9362097978592","6.58317470550537"
"default_paddle","5","0","12","20460.0001182758","1023","0","20.0000001156166","4","-0.091258556349203","-0.318875283002853","-0.000936032505705953","19.0781726837158","1.04831843422235","470186.898788452","4207.81493592262","464515.472703964","-821.306785583496","841823.384765625","7.86447940766811","642.966338157654","6.58317470550537"
"default_paddle","5","1","11","20460.000500687","1023","0","20.0000004894301","4","0.532120892608708","0.0424612052738667","1.19846892356873","19.0781726837158","1.04831845381613","454914.062057495","3880.63696956635","448872.755997658","-416.344947814941","412679.214355469","7.14461023546755","572.204464763403","6.58317470550537"
"default_paddle","5","2","10","20460.0006702731","1023","0","20.0000006552034","4","0.717802612483501","0.108407452702522","1.31473195552826","19.0781726837158","1.04831846250529","342513.926101685","2823.02948379517","337294.124969482","-197.26139831543","216981.249023438","5.04474938847125","397.032221496105","6.58317470550537"
"default_paddle","5","3","10","20460.0000008266","1023","0","20.000000000808","4","0.853426787257195","0.151151239871979","1.37032294273376","19.0781726837158","1.04831842820455","187256.522460938","1786.62543773651","183085.102334261","2542.30872344971","78451.3534851074","3.09991913009435","238.761432245374","6.58317470550537"
"default_paddle","5","4","9","20460.0005461731","1023","0","20.0000005338935","4","0.998793588744269","0.904444098472595","1.07609331607819","19.0781726837158","1.04831845614672","2602.66395568848","210.661407470703","1920.89065551758","483.82918548584","4870.13641357422","0.300824919715524","17.6323437988758","6.58317470550537"
