board,drift_deg,roll_case,element_index,sub_index,rho_v_kg_m2_s,rho_kgm3,scan_speed_ms,incidence_deg_derived,incidence_deg_stored_parent
default_shortboard,0,1,1,5,20460.0003509431,1023.0,20.0000003430529,21.7631037283994,18.4914169311523
default_shortboard,0,1,1,6,20459.9994439161,1023.0,19.9999994564184,21.1639758577019,18.4914169311523
default_shortboard,0,1,1,7,20459.9995134926,1023.0,19.9999995244307,20.8234836038599,18.4914169311523
default_shortboard,0,1,1,8,20460.0001490567,1023.0,20.0000001457055,20.5401081448696,18.4914169311523
default_shortboard,0,1,1,9,20459.9996742814,1023.0,19.9999996816045,22.5060392559577,18.4914169311523
default_shortboard,0,1,2,0,20460.0000598926,1023.0,20.0000000585461,15.3501050753287,12.6334209442139
default_shortboard,0,1,2,1,20459.9995428356,1023.0,19.999999553114,15.6887076661973,12.6334209442139
default_shortboard,0,1,2,2,20459.9992939253,1023.0,19.9999993097999,16.1758616715241,12.6334209442139
default_shortboard,0,1,2,3,20460.0006469003,1023.0,20.0000006323561,15.3527199307355,12.6334209442139
default_shortboard,0,1,2,4,20460.0001387481,1023.0,20.0000001356286,15.4219876516695,12.6334209442139
default_shortboard,0,1,2,5,20460.0003664804,1023.0,20.0000003582408,15.11049296425,12.6334209442139
default_shortboard,0,1,2,6,20459.9999143015,1023.0,19.9999999162283,14.7544578453149,12.6334209442139
default_shortboard,0,1,2,7,20459.9994366737,1023.0,19.9999994493389,14.1912161197587,12.6334209442139
default_shortboard,0,1,2,8,20459.9992011739,1023.0,19.9999992191338,13.8068349345282,12.6334209442139
default_shortboard,0,1,2,9,20459.9988264843,1023.0,19.9999988528684,21.3743097593955,12.6334209442139
default_shortboard,0,1,3,0,20460.0008813954,1023.0,20.0000008615791,8.79397373274326,6.3820424079895
default_shortboard,0,1,3,1,20460.0005092791,1023.0,20.000000497829,8.10884535338359,6.3820424079895
default_shortboard,0,1,3,2,20459.9996214195,1023.0,19.999999629931,8.1949616620089,6.3820424079895
default_shortboard,0,1,3,3,20460.0007998127,1023.0,20.0000007818306,8.14096056670601,6.3820424079895
default_shortboard,0,1,3,4,20459.9984322342,1023.0,19.9999984674821,7.83130604492046,6.3820424079895
default_shortboard,0,1,3,5,20460.0003432504,1023.0,20.0000003355331,7.65486951612214,6.3820424079895
default_shortboard,0,1,3,6,20460.000161466,1023.0,20.0000001578358,7.33877592076866,6.3820424079895
default_shortboard,0,1,3,7,20460.0009780074,1023.0,20.000000956019,6.21035147233405,6.3820424079895
default_shortboard,0,1,3,8,20459.9990172774,1023.0,19.9999990393718,5.55339124949606,6.3820424079895
default_shortboard,0,1,3,9,20459.9989608082,1023.0,19.9999989841723,5.3426184240443,6.3820424079895
default_shortboard,0,1,4,0,20460.0001809941,1023.0,20.0000001769249,5.38407664864598,5.06761693954468
default_shortboard,0,1,4,1,20459.9998791635,1023.0,19.9999998818803,5.4658231546726,5.06761693954468
default_shortboard,0,1,4,2,20460.0001570393,1023.0,20.0000001535086,6.01367248526171,5.06761693954468
default_shortboard,0,1,4,3,20459.9996468139,1023.0,19.9999996547546,5.84109207615479,5.06761693954468
default_shortboard,0,1,4,4,20460.0003762137,1023.0,20.0000003677554,5.66890838580253,5.06761693954468
default_shortboard,0,1,4,5,20460.0000927698,1023.0,20.000000090684,5.45004036019034,5.06761693954468
default_shortboard,0,1,4,6,20459.9996912091,1023.0,19.9999996981516,4.73948107955432,5.06761693954468
default_shortboard,0,1,4,7,20460.0003698732,1023.0,20.0000003615574,3.82954241020345,5.06761693954468
default_shortboard,0,1,4,8,20460.0002305426,1023.0,20.0000002253593,3.1525349813072,5.06761693954468
default_shortboard,0,1,4,9,20460.0001630425,1023.0,20.0000001593768,2.53270649272166,5.06761693954468
default_shortboard,0,1,5,0,20460.0017376771,1023.0,20.0000016986091,3.66117804630242,4.48908710479736
default_shortboard,0,1,5,1,20459.9995356526,1023.0,19.9999995460924,3.98675207154424,4.48908710479736
default_shortboard,0,1,5,2,20460.0003698771,1023.0,20.0000003615611,4.71659182786582,4.48908710479736
default_shortboard,0,1,5,3,20460.0013398443,1023.0,20.0000013097207,4.65991601090451,4.48908710479736
default_shortboard,0,1,5,4,20460.000024019,1023.0,20.000000023479,4.55596998544378,4.48908710479736
default_shortboard,0,1,5,5,20459.9993376523,1023.0,19.9999993525438,4.39490896376602,4.48908710479736
default_shortboard,0,1,5,6,20459.9987018574,1023.0,19.9999987310434,3.71963251081896,4.48908710479736
default_shortboard,0,1,5,7,20459.999204229,1023.0,19.9999992221203,2.99083428040138,4.48908710479736
default_shortboard,0,1,5,8,20460.0004199392,1023.0,20.0000004104977,2.40178302428391,4.48908710479736
default_shortboard,0,1,5,9,20459.999540211,1023.0,19.9999995505484,1.97066625217085,4.48908710479736
default_shortboard,0,1,6,0,20460.000110553,1023.0,20.0000001080675,2.46362565742899,4.06397533416748
default_shortboard,0,1,6,1,20459.9996593993,1023.0,19.999999667057,2.96417394462532,4.06397533416748
default_shortboard,0,1,6,2,20459.9997653792,1023.0,19.9999997706542,3.7557124972798,4.06397533416748
default_shortboard,0,1,6,3,20460.0001020698,1023.0,20.000000099775,3.93669075940515,4.06397533416748
default_shortboard,0,1,6,4,20460.0000400383,1023.0,20.0000000391381,3.83433100083042,4.06397533416748
default_shortboard,0,1,6,5,20460.000778467,1023.0,20.0000007609648,3.74666055113533,4.06397533416748
default_shortboard,0,1,6,6,20459.999204524,1023.0,19.9999992224086,3.39273094986428,4.06397533416748
default_shortboard,0,1,6,7,20460.0001626708,1023.0,20.0000001590135,2.60599049058495,4.06397533416748
default_shortboard,0,1,6,8,20459.9997011864,1023.0,19.9999997079046,2.16177677158792,4.06397533416748
default_shortboard,0,1,6,9,20459.9997697139,1023.0,19.9999997748914,2.23620821056384,4.06397533416748
default_shortboard,0,1,7,0,20460.0003085745,1023.0,20.0000003016368,1.48166568552516,3.5780348777771
default_shortboard,0,1,7,1,20460.0019906197,1023.0,20.0000019458648,2.19447905591673,3.5780348777771
default_shortboard,0,1,7,2,20459.9982437589,1023.0,19.9999982832443,2.82884738690174,3.5780348777771
