board,drift_deg,roll_case,element_index,rho_v_kg_m2_s,rho_kgm3,scan_speed_ms,incidence_deg_derived,incidence_deg_residual,n_sub_elements
default_shortboard,0,2,5,20460.0024044207,1023,20.0000023503624,3.31421804799187,-0.475852724179154,10
default_shortboard,0,2,6,20459.999370221,1023,19.9999993843803,3.15070990586207,-0.0685348126895695,10
default_shortboard,0,2,7,20460.0001324785,1023,20.0000001295,3.12862407854382,0.0484174459296809,10
default_shortboard,0,3,0,20459.9983734913,1023,19.9999984100599,39.0113976350046,-5.98860236499535,10
default_shortboard,0,3,1,20459.9981631696,1023,19.9999982044669,12.2717251976712,-0.649976233603226,10
default_shortboard,0,3,2,20459.9985601333,1023,19.9999985925057,7.24373561103199,-1.02421158592845,10
default_shortboard,0,3,3,20460.0000406829,1023,20.0000000397682,5.98277958510044,-0.96325150849697,10
default_shortboard,0,3,4,20459.9995264807,1023,19.9999995371267,5.20788587806991,-0.639852387921302,10
default_shortboard,0,3,5,20459.9998325647,1023,19.9999998363291,4.78406379121307,-0.253027940812077,10
default_shortboard,0,3,6,20459.9986128154,1023,19.9999986440033,4.75336122107595,-0.158559326409404,10
default_shortboard,0,3,7,20460.0005110606,1023,20.0000004995705,4.71007367569849,-0.262509141379147,10
default_shortboard,0,4,0,20459.9997600791,1023,19.9999997654732,42.7592979277479,-2.24070207225211,10
default_shortboard,0,4,1,20459.9990912903,1023,19.9999991117208,44.0662055303186,-0.933794469681445,10
default_shortboard,0,4,2,20460.0013956873,1023,20.0000013643082,24.711719005894,-0.991777927089359,10
default_shortboard,0,4,3,20460.0019107485,1023,20.0000018677893,14.6007720339325,-1.1434973371002,10
default_shortboard,0,4,4,20459.9977916632,1023,19.999997841313,12.0903745432728,-1.19726888934438,10
default_shortboard,0,4,5,20459.9986228532,1023,19.9999986538154,11.9786017087596,-0.94073747123312,10
default_shortboard,0,4,6,20459.9973778142,1023,19.9999974367686,13.6110868262787,-0.712617893264792,10
default_shortboard,10,0,0,20460.0007022303,1023,20.0000006864421,,,10
default_shortboard,10,0,1,20460.0005731733,1023,20.0000005602867,14.0783057309185,0.0356993771587586,10
default_shortboard,10,0,2,20459.9996600145,1023,19.9999996676583,10.6955638180309,0.480227972083609,10
default_shortboard,10,0,3,20459.9980631399,1023,19.9999981066861,6.39663859527931,0.556983195956799,10
default_shortboard,10,0,4,20460.0004351985,1023,20.000000425414,4.57045608625253,-0.301576079274817,10
default_shortboard,10,0,5,20459.9982067224,1023,19.9999982470404,3.62534055026043,-0.814777285738101,10
default_shortboard,10,0,6,20459.9970665881,1023,19.9999971325397,2.96867193989094,-1.07417092509929,10
default_shortboard,10,0,7,20460.0011265516,1023,20.0000011012235,2.58643233741674,-1.05896294151392,10
default_shortboard,10,0,8,20460.0009920802,1023,20.0000009697753,2.46617649024987,-0.981752415237189,10
default_shortboard,10,1,0,20460.0010914276,1023,20.0000010668891,25.584044031886,-8.02277893564325,10
default_shortboard,10,1,1,20459.9992877026,1023,19.9999993037171,18.0316592468006,-0.263018487574413,10
default_shortboard,10,1,2,20459.9974041082,1023,19.9999974624714,13.3851791144657,0.531720709924691,10
default_shortboard,10,1,3,20459.9990134753,1023,19.9999990356553,6.78617209560729,0.311497393916615,10
default_shortboard,10,1,4,20460.0020510672,1023,20.0000020049532,4.5773175725317,-0.550411366524695,10
default_shortboard,10,1,5,20460.0012242278,1023,20.0000011967036,3.52265121386676,-0.759860020416683,10
default_shortboard,10,1,6,20460.0000741925,1023,20.0000000725244,3.06659292942602,-0.790235521730598,10
default_shortboard,10,1,7,20460.0013209743,1023,20.000001291275,2.80563119792754,-0.704583607675489,10
